Study,Year,Nospecies,Phylum,Taxon,Species,SppType,Phylum2,Phylum3,Trophicfunction,TrophicLevel,Lifeform,Biofouler,Popualtions,Morph,NativeNone,Latitude,Longitude,AbsolutLat,Number Locations,Location,Ecosystem,Climate,SeasonExpBegan,Stress,StressDirection,StressMax,StressAnomaly,Ambient,"Type (constant, gradual change, ramping, flucuating) ",PreExpAdjustmentd,Intensitydegrees,IntensityTime,IntTime,IntensityDurationd,ExpExposureDurationd,LatentStressDuration,Exptime,Frequency,Type of ex,MeasurementType,metadata,Bioresponse,Actual Response,Effect direction,TreatmentMean,Treatment var,Control Mean,Control var,var,TreatStd,ControlStd,Data source,SamplesizeC,SamplesizeT
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6825,0.0202,0.6972,0.0087,(±SD),0.0202,0.0087,Fig. 3,4,4
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5526,0.0219,0.6231,0.0152,(±SD),0.0219,0.0152,Fig. 3,4,4
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,1,0,1,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6819,0.0229,0.6972,0.0087,(±SD),0.0229,0.0087,Fig. 3,4,4
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5917,0.0283,0.5695,0.0281,(±SD),0.0283,0.0281,Fig. 3,4,4
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,15,19,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5993,0.0233,0.6589,0.0562,(±SD),0.0233,0.0562,Fig. 3,4,4
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Winter,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5119,0.0309,0.5695,0.0281,(±SD),0.0309,0.0281,Fig. 3,4,4
Scherner et al 2013,2013,2,Heterokonta,Heterokonta,Sargassum stenophyllum,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-27.394336,-48.43591,27.394336,1,Brazil,Marine,Mediterranean,Summer,Sal,Decrease,5,29,34,Constant,0,0,None,None,0,3,0,3,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6013,0.0335,0.6589,0.0562,(±SD),0.0335,0.0562,Fig. 3,4,4
Scherner et al 2016,2016,4,Chlorophyta,Chlorophyta,Halimeda cuneata,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,28,1,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.514,0.0248,0.3761,0.0701,(±SD),0.0248,0.0701,Fig. 4,4,4
Scherner et al 2016,2016,4,Chlorophyta,Chlorophyta,Halimeda cuneata,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,29,2,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4916,0.0358,0.3761,0.0701,(±SD),0.0358,0.0701,Fig. 4,4,4
Scherner et al 2016,2016,4,Chlorophyta,Chlorophyta,Halimeda cuneata,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,31.5,4.5,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.3892,0.0727,0.3761,0.0701,(±SD),0.0727,0.0701,Fig. 4,4,4
Scherner et al 2016,2016,4,Heterokonta,Heterokonta,Padina gymnospora,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,28,1,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5981,0.0449,0.5335,0.0871,(±SD),0.0449,0.0871,Fig. 4,4,4
Scherner et al 2016,2016,4,Heterokonta,Heterokonta,Padina gymnospora,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,29,2,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5816,0.03,0.5335,0.0871,(±SD),0.03,0.0871,Fig. 4,4,4
Scherner et al 2016,2016,4,Heterokonta,Heterokonta,Padina gymnospora,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,31.5,4.5,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5771,0.0435,0.5335,0.0871,(±SD),0.0435,0.0871,Fig. 4,4,4
Scherner et al 2016,2016,4,Rhodophyta,Rhodophyta,Corallina ,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,28,1,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.408,0.0154,0.3576,0.0857,(±SD),0.0154,0.0857,Fig. 4,4,4
Scherner et al 2016,2016,4,Rhodophyta,Rhodophyta,Corallina ,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,29,2,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.3655,0.0579,0.3576,0.0857,(±SD),0.0579,0.0857,Fig. 4,4,4
Scherner et al 2016,2016,4,Rhodophyta,Rhodophyta,Corallina ,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,31.5,4.5,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.3498,0.1863,0.3576,0.0857,(±SD),0.1863,0.0857,Fig. 4,4,4
Scherner et al 2016,2016,4,Rhodophyta,Rhodophyta,Tricleocarpa cylindrica,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,28,1,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4339,0.0405,0.443,0.0314,(±SD),0.0405,0.0314,Fig. 4,4,4
Scherner et al 2016,2016,4,Rhodophyta,Rhodophyta,Tricleocarpa cylindrica,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,29,2,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.4385,0.0675,0.443,0.0314,(±SD),0.0675,0.0314,Fig. 4,4,4
Scherner et al 2016,2016,4,Rhodophyta,Rhodophyta,Tricleocarpa cylindrica,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-16.48608,-39.066978,16.48608,1,Brazil,Marine,Tropical,Summer,Temp,Increase,31.5,4.5,27,Constant,18,0,None,None,0,15,0,15,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.482,0.0871,0.443,0.0314,(±SD),0.0871,0.0314,Fig. 4,4,4
Schoenrock et al 2015,2015,2,Heterokonta,Heterokonta,Desmarestia anceps,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Spring,Temp,Increase,3.5,2,1.5,Constant,10,0,None,None,0,79,0,79,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6943,0.0693,0.6315,0.0769,(±SE),0.240062242,0.266389414,Fig. 2g,12,12
Schoenrock et al 2015,2015,2,Heterokonta,Heterokonta,Desmarestia menziesii ,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Spring,Temp,Increase,3.5,2,1.5,Constant,10,0,None,None,0,79,0,79,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6252,0.0633,0.6805,0.0394,(±SE),0.219277632,0.136485604,Fig. 2c,12,12
Schoenrock et al 2015,2015,2,Heterokonta,Heterokonta,Desmarestia anceps,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Spring,Temp,Increase,3.5,2,1.5,Constant,10,0,None,None,0,79,0,79,No,Lab,Ind,Yes,Growth,Growth,1,-10.3552,3.0901,-6.162,3.1665,(±SE),10.7044204,10.96907776,Fig.1a,12,12
Schoenrock et al 2015,2015,2,Heterokonta,Heterokonta,Desmarestia menziesii ,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Spring,Temp,Increase,3.5,2,1.5,Constant,10,0,None,None,0,79,0,79,No,Lab,Ind,Yes,Growth,Growth,1,3.5951,2.4982,3.1014,5.9569,(±SE),8.654018655,20.63530691,Fig.1b,12,12
Schoenrock et al 2015,2015,2,Heterokonta,Heterokonta,Desmarestia anceps,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Spring,Temp,Increase,3.5,2,1.5,Constant,10,0,None,None,0,79,0,79,No,Lab,Ind,Yes,Overall Health,Phenolic Compounds,1,5.1804,1.2098,5.6488,1.5805,(±SE),4.190870134,5.475012603,Fig. 4,12,12
Schoenrock et al 2015,2015,2,Heterokonta,Heterokonta,Desmarestia menziesii ,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Spring,Temp,Increase,3.5,2,1.5,Constant,10,0,None,None,0,79,0,79,No,Lab,Ind,Yes,Overall Health,Phenolic Compounds,1,4.6341,1.0537,4.3707,1.2098,(±SE),3.650123872,4.190870134,Fig. 4,12,12
Schoenrock et al 2016,2016,2,Rhodophyta,Rhodophyta,Clathromorphum obtectulum,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Summer,Temp,Increase,3.5,2,1.5,Constant,14,0,None,None,0,47,0,47,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,16.7116,4.3582,12.4766,2.7852,(±SE),18.49027664,11.81660284,Fig. 3,18,18
Schoenrock et al 2016,2016,2,Rhodophyta,Rhodophyta,Hildenbrandia sp,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Summer,Temp,Increase,3.5,2,1.5,Constant,14,0,None,None,0,47,0,47,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,0.1275,0.0552,0.1543,0.0307,(±SE),0.234193766,0.130249069,Fig. 2,18,18
Schoenrock et al 2016,2016,2,Rhodophyta,Rhodophyta,Hildenbrandia sp,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Summer,Temp,Increase,3.5,2,1.5,Constant,14,0,None,None,0,47,0,47,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,2.5424,0.5302,2.5868,0.4358,(±SE),2.249448092,1.848942811,Fig. 3,18,18
Schoenrock et al 2016,2016,2,Rhodophyta,Rhodophyta,Clathromorphum obtectulum,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Summer,Temp,Increase,3.5,2,1.5,Constant,14,0,None,None,0,47,0,47,No,Lab,Ind,Yes,Growth,Growth,1,0.1658,0.2193,0.0581,0.1547,(±SE),0.930411103,0.656336514,Fig.1,18,18
Schoenrock et al 2016,2016,2,Rhodophyta,Rhodophyta,Hildenbrandia sp,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,No,1,Adult,native,-64.773924,-64.054622,64.773924,1,Antarctic,Marine,Polar,Summer,Temp,Increase,3.5,2,1.5,Constant,14,0,None,None,0,47,0,47,No,Lab,Ind,Yes,Growth,Growth,1,0.0407,0.0614,0.0845,0.0572,(±SE),0.260498138,0.242679047,Fig.1,18,18
Schoenrock et al 2018,2018,2,Rhodophyta,Rhodophyta,Lithothamnion glaciale,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,64.151853,-51.693958,64.151853,1,Greenland,Esturine,Polar,Autumn,Sal,Decrease,22,11,33,Flucuating,0,0,None,None,0,30,0,30,No,Lab,Ind,Yes,Critical Biological Rate,Calcification,1,0.0101,0.0114,0.0809,0.0209,(±SE),0.025491175,0.046733821,Fig. 3a,5,5
Smale & Wernberg 2012,2012,6,Annelida,Annelida,Spirorbis,Polychaete,Annelida,Annelida,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,native,-31.823027,115.735978,31.823027,2,Australia,Marine,Mediterranean,Summer,Temp,Increase,30,2.2,27.8,Flucuating,0,0,None,None,0,22,0,22,No,Field,Pop,Yes,Growth,Growth,1,0.6131,0.5403,1.8575,0.7065,(±SE),1.528199176,1.998283764,Fig. 3b,8,8
Smale & Wernberg 2012,2012,6,Bryozoa,Bryozoa,Watersipora subatra,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-31.823027,115.735978,31.823027,2,Australia,Marine,Mediterranean,Summer,Temp,Increase,30,2.2,27.8,Flucuating,0,0,None,None,0,22,0,22,No,Field,Pop,Yes,Growth,Growth,1,2.5229,0.6112,5.2063,0.8884,(±SE),1.728734659,2.512774658,Fig. 3b,8,8
Smale & Wernberg 2012,2012,6,Bryozoa,Bryozoa,Watersipora subatra,Bryozoan,Bryozoa,Bryozoa,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-32.042427,115.748275,32.042427,2,Australia,Marine,Mediterranean,Winter,Temp,Increase,22,1.8,20.2,Flucuating,0,0,None,None,0,32,0,32,No,Field,Pop,Yes,Growth,Growth,1,1.0542,0.3827,0.991,0.2746,(±SE),1.082439061,0.776686088,Fig .3a,8,8
Smale & Wernberg 2012,2012,6,Chordata,Tunicata,Ciona intestinalis,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-32.042427,115.748275,32.042427,2,Australia,Marine,Mediterranean,Winter,Temp,Increase,22,1.8,20.2,Flucuating,0,0,None,None,0,32,0,32,No,Field,Pop,Yes,Growth,Growth,1,3.0688,0.6842,1.1727,0.3825,(±SE),1.935209839,1.081873375,Fig .3a,8,8
Smale & Wernberg 2012,2012,6,Chordata,Tunicata,Didemnum perlucidum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-31.823027,115.735978,31.823027,2,Australia,Marine,Mediterranean,Summer,Temp,Increase,30,2.2,27.8,Flucuating,0,0,None,None,0,22,0,22,No,Field,Pop,Yes,Growth,Growth,1,8.9336,0.1858,7.6535,0.1558,(±SE),0.52552176,0.440668946,Fig. 3b,8,8
Smale & Wernberg 2012,2012,6,Chordata,Tunicata,Didemnum perlucidum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-31.823027,115.735978,31.823027,2,Australia,Marine,Mediterranean,Summer,Temp,Increase,30,2.2,27.8,Flucuating,0,0,None,None,0,22,0,22,No,Field,Pop,Yes,Growth,Growth,1,90.1987,2.1463,83.7989,2.9958,(±SE),6.070653138,8.47340198,Fig. 3b,8,8
Smale & Wernberg 2012,2012,6,Cnidaria,Cnidaria,Hydroides elegans,Hydroid,Cnidaria,Cnidaria,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-31.823027,115.735978,31.823027,2,Australia,Marine,Mediterranean,Summer,Temp,Increase,30,2.2,27.8,Flucuating,0,0,None,None,0,22,0,22,No,Field,Pop,Yes,Growth,Growth,1,13.6606,2.3363,7.4421,0.9247,(±SE),6.608054292,2.615446562,Fig. 3b,8,8
Smale & Wernberg 2012,2012,6,Cnidaria,Cnidaria,Hydroides elegans,Hydroid,Cnidaria,Cnidaria,FiltSus feeder,Heterotroph,Animal,Yes,2,Adult,nns,-32.042427,115.748275,32.042427,2,Australia,Marine,Mediterranean,Winter,Temp,Increase,22,1.8,20.2,Flucuating,0,0,None,None,0,32,0,32,No,Field,Pop,Yes,Growth,Growth,1,17.4929,2.5776,16.334,3.5656,(±SE),7.290553757,10.08503976,Fig .3a,8,8
Smale et al 2011,2011,6,Chordata,Tunicata,Didemnum perlucidum,Ascidian,Chordata,Chordata,FiltSus feeder,Heterotroph,Animal,Yes,1,Adult,nns,-31.994245,115.830352,31.994245,1,Australia,Esturine,Mediterranean,Autumn,Temp,Increase,25,0.67,24.33,Gradual,0,0,None,None,0,36,0,36,No,Field,Int,Yes,Growth,Abundance,1,12.9202,5.0747,5.0979,2.5088,(±SE),14.35341913,7.095957971,Fig. 1c,8,8
Smale et al 2015,2015,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,50.460176,-3.52545,50.460176,1,UK,Marine,Temperate,Summer,Temp,Increase,20,3,17,Flucuating,0,0,None,None,0,7,21,28,No,Lab,Pop,No,,,,,,,,,,,,,
Smale et al 2015,2015,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,50.460176,-3.52545,50.460176,1,UK,Marine,Temperate,Summer,Temp,Increase,22,5,17,Flucuating,0,0,None,None,0,14,14,28,No,Lab,Pop,No,,,,,,,,,,,,,
Smale et al 2017,2017,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,50.363738,-4.151636,50.363738,1,UK,Esturine,Temperate,Autumn,Temp,Increase,19,3,16,Gradual,0,0,None,None,0,40,0,40,No,Field,Int,No,,,,,,,,,,,,,
Smale et al 2017,2017,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,50.363738,-4.151636,50.363738,1,UK,Esturine,Temperate,Autumn,Temp,Increase,21,5,16,Gradual,0,0,None,None,0,40,0,40,No,Field,Int,No,,,,,,,,,,,,,
Sorte et al 2010,2010,6,Comm,Comm,Comm,Comm,Comm,Comm,Comm,Heterotroph,Animal,Comm,1,Adult,both,38.32347,-123.049784,38.32347,1,USA,Marine,Mediterranean,Summer,Temp,Increase,24.5,9.5,15,Constant,0,3,Hour,Hour,0.125,3,95,98.125,No,Lab,Pop,No,,,,,,,,,,,,,
Stengel et al 2014,2014,3,Chlorophyta,Chlorophyta,Ulva rigida,Macrophyte,Macrophyte,Chlorophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,36.712021,-4.319359,36.712021,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,30,4,26,Flucuating,10,0,None,None,0,6,0,6,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5499,0.058,0.5404,0.0648,(±SD),0.058,0.0648,Fig. 6a,3,3
Stengel et al 2014,2014,3,Heterokonta,Heterokonta,Cystoseira tamariscifolia,Macrophyte,Macrophyte,Heterokonta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,36.712021,-4.319359,36.712021,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,30,4,26,Flucuating,0,0,None,None,0,6,0,6,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.6093,0.0384,0.6159,0.0123,(±SD),0.0384,0.0123,Fig. 6b,3,3
Stengel et al 2014,2014,3,Rhodophyta,Rhodophyta,Ellisolandia elongata,Macrophyte,Macrophyte,Rhodophyta,Primary producer,Autotroph,Plant,Yes,1,Adult,native,36.712021,-4.319359,36.712021,1,Spain,Marine,Mediterranean,Summer,Temp,Increase,30,4,26,Flucuating,0,0,None,None,0,6,0,6,No,Lab,Ind,Yes,Critical Biological Rate,Photosynthesis,1,0.5371,0.0785,0.545,0.0193,(±SD),0.0785,0.0193,Fig. 6c,3,3
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Argopecten irradians,Scallop,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Growth,Growth,1,0.0486,0.0129,0.00804,0.0173,(±SE),0.0258,0.0346,Fig. 6b,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Argopecten irradians,Scallop,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Growth,Growth,1,0.0699,0.0118,0.0546,0.0082,(±SE),0.026385602,0.018335757,Fig. 7b,5,5
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Crassostrea virginica,Oyster,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Growth,Growth,1,0.007236,0.011,0.004517,0.0068,(±SE),0.022,0.0136,Fig. 5b,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Mercenaria mercenaria,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Growth,Growth,1,0.00114,0.00079,0.0102,0.0013,(±SE),0.00158,0.0026, Fig. 9b,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Mercenaria mercenaria,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Growth,Growth,1,0.0102,0.0012,0.0124,0.0029,(±SE),0.0024,0.0058,Fig. 8b,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Mytilus edulis,Mussel,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,Yes,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Growth,Growth,1,0.0223,0.0071,0.0586,0.0182,(±SE),0.0142,0.0364,Fig . 4b,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Argopecten irradians,Scallop,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Respiration,Respiration,-1,9.4241,1.6345,8.0391,1.7738,(±SE),3.269,3.5476,Fig. 6d,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Mercenaria mercenaria,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Respiration,Respiration,-1,0.014,0.0042,0.0121,0.0047,(±SE),0.0084,0.0094,Fig. 8d,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Argopecten irradians,Scallop,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Survival,Survival,1,78.8755,1.6561,73.6118,2.4674,(±SE),3.3122,4.9348,Fig. 6a,4,4
Stevens & Gobler 2018,2018,4,Mollusca,Bivalvia,Mercenaria mercenaria,Clam,Mollusca,Mollusca,FiltSus feeder,Heterotroph,Animal,No,1,Juv,native,40.879,-72.473085,40.879,1,USA,Esturine,Temperate,Summer,Temp,Increase,31,7,24,Constant,3,0.3,Hour,Hour,1,28,0,29,No,Lab,Ind,Yes,Survival,Survival,1,94.0163,2.1404,63.5945,1.6179,(±SE),4.2808,3.2358, Fig. 9a,4,4
